Filename;Line Number;Function Name;Call Count;Cumulative Time;Internal Time
common.py;151;cast_scalar_indexer;132742;0.09401978100000001;0.07007957000000001
datetimes.py;705;to_datetime;1;0.0923808;1,34E-02
base.py;839;is_;130981;0.091079991;0.07639353
datetimes.py;194;_maybe_cache;1;0.087942039;3,02E+11
managers.py;172;blknos;262798;0.087839024;0.087703368
~;0;<method 'join' of 'str' objects>;552605;0.08768539700000001;0.08768539700000001
~;0;<built-in method pandas._libs.tslibs.timedeltas.delta_to_nanoseconds>;65458;0.08564231300000001;0.08564231300000001
datetimelike.py;926;freq;261866;0.084843658;0.084843658
datetimelike.py;2082;_maybe_clear_freq;196368;0.08416910500000001;0.08416910500000001
nanops.py;83;_f;862;0.084010506;0.004813651
blocks.py;323;should_store;65456;0.083487065;0.069970141
numeric.py;1234;<dictcomp>;130920;0.083076388;0.083076388
ops.py;1321;__iter__;861;0.08276465400000001;0.001644103
~;0;<built-in method __new__ of type object at 0x102d6eda8>;198204;0.082699322;0.082699322
~;0;<pandas._libs.tslibs.np_datetime.py_get_unit_from_dtype>;261834;0.081754926;0.081754926
indexing.py;278;loc;130914;0.08107016;0.08107016
datetimes.py;325;_convert_listlike_datetimes;1;0.080358555;1,35E-01
datetimes.py;506;_to_datetime_with_format;1;0.080230461;5,88E-02
datetimes.py;458;_array_strptime_with_fallback;1;0.080171691;7.63e-06
~;0;<pandas._libs.tslibs.strptime.array_strptime>;1;0.08000968700000001;0.079996589
missing.py;309;_isna_string_dtype;7;0.079631163;2,22E+11
managers.py;188;blklocs;262785;0.07947881200000001;0.07947881200000001
managers.py;1864;_consolidate_inplace;11;0.077559178;0.002943256
generic.py;3873;_take;9;0.077162616;7,49E+10
frame.py;6424;dropna;1;0.076848045;0.000120544
~;0;<built-in method numpy.array>;65531;0.075964129;0.07593188000000001
ops.py;1351;_chop;860;0.07510683500000001;0.0031360800000000003
managers.py;2319;_consolidate;4;0.074340363;0.000105439
~;0;<pandas._libs.lib.map_infer>;1;0.07390542600000001;0.016332537
managers.py;2361;_merge_blocks;20;0.07364487700000001;0.039658562
function_base.py;346;iterable;65460;0.072958778;0.055895650000000005
generic.py;3894;_take_with_is_copy;8;0.071826702;4,00E-01
missing.py;357;notna;5;0.071591719;1,36E+11
blocks.py;345;apply;15;0.070878412;4,20E+11
frame.py;6377;isna;1;0.06948059300000001;7,60E-03
base.py;141;isna;1;0.069445877;2,82E+10
indexing.py;2185;_ensure_iterable_column_indexer;65456;0.067937078;0.049876553000000004
_ufunc_config.py;426;__init__;198121;0.06758549400000001;0.06758549400000001
~;0;<pandas._libs.missing.isnaobj2d>;1;0.066651369;0.066651369
frame.py;3832;_getitem_bool_array;6;0.06654441;4,10E-01
indexing.py;1108;_validate_key;65457;0.066076497;0.050501444000000006
base.py;986;dtype;196429;0.065505511;0.065505511
base.py;931;__array__;65456;0.065501759;0.041626316000000003
base.py;5090;_values;262078;0.06516361500000001;0.064903314
generic.py;6258;copy;15;0.064842281;8,71E-01
~;0;<built-in method numpy.core._multiarray_umath.normalize_axis_index>;130981;0.06442267;0.06442267
managers.py;616;copy;15;0.064348132;8,29E+10
construction.py;958;_finalize_columns_and_data;2;0.06313062400000001;3,58E+11
construction.py;1038;_convert_object_array;2;0.063082946;5,33E-03
construction.py;1060;<listcomp>;2;0.063077619;1,80E-01
construction.py;1054;convert;12;0.063059577;5,48E+11
nanops.py;403;new_func;862;0.062869572;0.002184582
~;0;<method 'get_slice' of 'pandas._libs.internals.BlockManager' objects>;860;0.0617991;0.010488808
take.py;57;take_nd;72;0.060690673;0.00036786800000000004
nanops.py;469;newfunc;860;0.060432990000000006;0.00136038
~;0;<method 'get' of 'dict' objects>;328326;0.059571747;0.059571747
managers.py;689;reindex_indexer;13;0.059180332;0.000128887
nanops.py;588;nansum;860;0.059072610000000005;0.002788472
construction.py;921;_list_of_dict_to_arrays;1;0.058325117;2,12E+11
indexing.py;848;<genexpr>;196368;0.057956789;0.057956789
blocks.py;861;take_nd;45;0.057940603;0.00023533600000000002
<ipython-input-134-80e15ba39301>;70;<lambda>;65830;0.057543652;0.036107354
managers.py;233;is_single_block;65465;0.057284263;0.045046009000000005
managers.py;330;<dictcomp>;196402;0.056977164000000004;0.056977164000000004
~;0;<method 'ravel' of 'numpy.ndarray' objects>;65510;0.055448451;0.055448451
~;0;<built-in method _simple_new>;65468;0.052660674000000005;0.052660674000000005
indexing.py;1592;_getitem_axis;865;0.05029074;0.0012203020000000001
frame.py;6128;reset_index;3;0.049957392;2,37E-01
managers.py;944;take;10;0.049273944;0.00012116500000000001
multiarray.py;1130;putmask;196374;0.048639322000000006;0.048639322000000006
nanops.py;261;_get_values;869;0.048219679;0.005488515
indexing.py;1629;_get_slice_axis;862;0.047301295;0.002173003
generic.py;664;ndim;130930;0.047218051000000004;0.047218051000000004
contextlib.py;428;__init__;130912;0.046748818000000004;0.046748818000000004
arraylike.py;40;__eq__;11;0.046343315;1,82E-01
accessor.py;1994;strip;1;0.046317968;7,64E+09
object_array.py;427;_str_strip;1;0.04606565;6.15e-06
take.py;120;_take_nd_ndarray;70;0.046065312000000004;0.000487103
managers.py;751;<listcomp>;9;0.045988491;0.00012134000000000001
