rdered by: standard name;;;;;
;;;;;
ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
86/72;0.000;0.000;0.060;0.001;take.py:57(take_nd)
13;0.000;0.000;0.058;0.004;managers.py:689(reindex_indexer)
45;0.000;0.000;0.057;0.001;blocks.py:861(take_nd)
196368;0.056;0.000;0.056;0.000;indexing.py:848(<genexpr>)
196402;0.056;0.000;0.056;0.000;managers.py:330(<dictcomp>)
1;0.000;0.000;0.056;0.056;construction.py:921(_list_of_dict_to_arrays)
65510;0.055;0.000;0.055;0.000;{method 'ravel' of 'numpy.ndarray' objects}
65465;0.043;0.000;0.055;0.000;managers.py:233(is_single_block)
65830;0.032;0.000;0.052;0.000;<ipython-input-134-80e15ba39301>:70(<lambda>)
860;0.009;0.000;0.052;0.000;{method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
862;0.002;0.000;0.052;0.000;nanops.py:403(new_func)
4;0.000;0.000;0.051;0.013;astype.py:192(astype_array)
4;0.000;0.000;0.051;0.013;astype.py:239(astype_array_safe)
4;0.000;0.000;0.051;0.013;blocks.py:504(astype)
2;0.000;0.000;0.051;0.025;generic.py:6076(astype)
2;0.000;0.000;0.051;0.025;managers.py:447(astype)
65468;0.050;0.000;0.050;0.000;{built-in method _simple_new}
860;0.001;0.000;0.050;0.000;nanops.py:469(newfunc)
3;0.000;0.000;0.050;0.017;frame.py:6128(reset_index)
860;0.002;0.000;0.049;0.000;nanops.py:588(nansum)
10;0.000;0.000;0.049;0.005;managers.py:944(take)
196374;0.048;0.000;0.048;0.000;multiarray.py:1130(putmask)
1;0.000;0.000;0.047;0.047;accessor.py:1994(strip)
1;0.000;0.000;0.047;0.047;object_array.py:427(_str_strip)
130930;0.046;0.000;0.046;0.000;generic.py:664(ndim)
11;0.000;0.000;0.046;0.004;arraylike.py:40(__eq__)
9;0.000;0.000;0.046;0.005;managers.py:751(<listcomp>)
70;0.000;0.000;0.046;0.001;take.py:120(_take_nd_ndarray)
1;0.044;0.044;0.044;0.044;{pandas._libs.tslibs.vectorized.ints_to_pydatetime}
1;0.000;0.000;0.044;0.044;datetimelike.py:425(astype)
1;0.000;0.000;0.044;0.044;datetimes.py:599(astype)
21;0.000;0.000;0.044;0.002;generic.py:5959(_protect_consolidate)
21;0.000;0.000;0.044;0.002;generic.py:5973(_consolidate_inplace)
130912;0.043;0.000;0.043;0.000;contextlib.py:428(__init__)
5;0.043;0.009;0.043;0.009;{pandas._libs.ops.scalar_compare}
1;0.010;0.010;0.043;0.043;{pandas._libs.lib.fast_unique_multiple_list_gen}
5;0.000;0.000;0.043;0.009;array_ops.py:60(comp_method_OBJECT_ARRAY)
865;0.001;0.000;0.042;0.000;indexing.py:1592(_getitem_axis)
130918;0.041;0.000;0.041;0.000;stride_tricks.py:345(<genexpr>)
131053;0.041;0.000;0.041;0.000;{built-in method numpy.asanyarray}
82;0.000;0.000;0.041;0.000;<__array_function__ internals>:177(concatenate)
869;0.005;0.000;0.040;0.000;nanops.py:261(_get_values)
862;0.002;0.000;0.040;0.000;indexing.py:1629(_get_slice_axis)
21;0.000;0.000;0.040;0.002;generic.py:5977(f)
21;0.000;0.000;0.040;0.002;managers.py:673(consolidate)
66321;0.039;0.000;0.039;0.000;indexing.py:139(iloc)
212824;0.039;0.000;0.039;0.000;{method 'search' of 're.Pattern' objects}
199074;0.037;0.000;0.037;0.000;{pandas._libs.lib.is_float}
131027;0.036;0.000;0.036;0.000;base.py:1734(name)
132831;0.036;0.000;0.036;0.000;common.py:151(classes_and_not_datetimelike)
65456;0.028;0.000;0.036;0.000;indexing.py:2612(is_nested_tuple)
65456;0.026;0.000;0.036;0.000;common.py:333(is_full_slice)
65459;0.035;0.000;0.035;0.000;stride_tricks.py:25(_maybe_view_as_subclass)
865;0.002;0.000;0.034;0.000;series.py:1068(_get_values)
863;0.000;0.000;0.034;0.000;series.py:961(_slice)
130912;0.033;0.000;0.033;0.000;contextlib.py:434(__exit__)
83;0.033;0.000;0.033;0.000;{method 'copy' of 'numpy.ndarray' objects}
64706;0.027;0.000;0.033;0.000;construction.py:945(<genexpr>)
130927;0.031;0.000;0.031;0.000;datetimes.py:194(_scalar_type)
131053;0.031;0.000;0.031;0.000;{pandas._libs.algos.ensure_platform_int}
66322;0.029;0.000;0.029;0.000;function.py:56(__call__)
130920;0.029;0.000;0.029;0.000;numeric.py:1143(_roll_dispatcher)
65484;0.029;0.000;0.029;0.000;{built-in method builtins.sum}
65830;0.018;0.000;0.029;0.000;object_array.py:428(<lambda>)
8;0.000;0.000;0.029;0.004;<__array_function__ internals>:177(vstack)
8;0.000;0.000;0.029;0.004;shape_base.py:223(vstack)
65503;0.028;0.000;0.028;0.000;managers.py:238(items)
130952;0.028;0.000;0.028;0.000;{method 'items' of 'dict' objects}
28;0.000;0.000;0.027;0.001;blocks.py:544(copy)
33;0.000;0.000;0.027;0.001;frame.py:3955(__setitem__)
33;0.000;0.000;0.027;0.001;frame.py:4164(_set_item)
130920;0.026;0.000;0.026;0.000;multiarray.py:84(empty_like)
1;0.000;0.000;0.026;0.026;frame.py:6862(sort_values)
130960;0.025;0.000;0.025;0.000;{built-in method _operator.index}
130963;0.024;0.000;0.024;0.000;managers.py:1882(ndim)
131666;0.024;0.000;0.024;0.000;{method 'index' of 'range' objects}
3;0.000;0.000;0.023;0.008;concat.py:146(concat)
131860;0.022;0.000;0.022;0.000;base.py:6569(_maybe_cast_indexer)
130912;0.021;0.000;0.021;0.000;contextlib.py:431(__enter__)
3;0.000;0.000;0.021;0.007;concat.py:176(concatenate_managers)
3;0.000;0.000;0.021;0.007;concat.py:565(get_result)
65468;0.020;0.000;0.020;0.000;base.py:1194(_maybe_disallow_fill)
65460;0.020;0.000;0.020;0.000;fromnumeric.py:3152(ndim)
65459;0.020;0.000;0.020;0.000;{method '__exit__' of 'numpy.nditer' objects}
65472;0.018;0.000;0.018;0.000;numeric.py:192(_ensure_dtype)
65468;0.018;0.000;0.018;0.000;{pandas._libs.tslibs.np_datetime.is_unitless}
93;0.017;0.000;0.018;0.000;cast.py:527(maybe_promote)
869;0.001;0.000;0.016;0.000;nanops.py:217(_maybe_get_mask)
33;0.000;0.000;0.016;0.000;frame.py:4892(_sanitize_column)
1;0.000;0.000;0.016;0.016;frame.py:5251(drop)
1;0.000;0.000;0.016;0.016;generic.py:4475(drop)
1;0.015;0.015;0.015;0.015;<ipython-input-134-80e15ba39301>:129(<listcomp>)
65507;0.015;0.000;0.015;0.000;base.py:241(disallow_kwargs)
65473;0.015;0.000;0.015;0.000;numeric.py:181(_validate_dtype)
65457;0.015;0.000;0.015;0.000;numeric.py:2403(_array_equal_dispatcher)
65459;0.015;0.000;0.015;0.000;stride_tricks.py:363(_broadcast_to_dispatcher)
65460;0.014;0.000;0.014;0.000;fromnumeric.py:3148(_ndim_dispatcher)
6;0.014;0.002;0.014;0.002;{built-in method pandas._libs.missing.isnaobj}
65830;0.013;0.000;0.013;0.000;{built-in method combine}
1;0.000;0.000;0.013;0.013;generic.py:4512(_drop_axis)
65456;0.012;0.000;0.012;0.000;indexing.py:1127(_has_valid_setitem_indexer)
865;0.005;0.000;0.012;0.000;managers.py:2023(getitem_mgr)
4;0.000;0.000;0.012;0.003;managers.py:774(_slice_take_blocks_ax0)
65456;0.011;0.000;0.011;0.000;blocks.py:815(_unwrap_setitem_indexer)
65830;0.011;0.000;0.011;0.000;{method 'strip' of 'str' objects}
6;0.000;0.000;0.011;0.002;concat.py:527(_concatenate_join_units)
65458;0.010;0.000;0.010;0.000;blocks.py:809(_maybe_squeeze_arg)
1;0.010;0.010;0.010;0.010;construction.py:952(<listcomp>)
8;0.010;0.001;0.010;0.001;{pandas._libs.algos.take_2d_axis1_object_object}
33;0.000;0.000;0.010;0.000;frame.py:4139(_set_item_mgr)
9;0.000;0.000;0.010;0.001;generic.py:443(transform)
9;0.000;0.000;0.010;0.001;groupby.py:1827(_transform)
4;0.009;0.002;0.009;0.002;{pandas._libs.algos.take_2d_axis0_float64_float64}
7;0.009;0.001;0.009;0.001;{pandas._libs.algos.take_2d_axis1_float64_float64}
1;0.009;0.009;0.009;0.009;{pandas._libs.lib.to_object_array}
8;0.000;0.000;0.009;0.001;cast.py:1178(maybe_infer_to_datetimelike)
